financial_year,council_area,sector,main_client_group,number_of_places
2021/22,Angus,All Sectors,Other Groups,0
2021/22,Angus,All Sectors,Physical and Sensory Impairment,0
2021/22,Angus,Local Authority/Health Board Sectors,All Adults,95
2021/22,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,82
2021/22,Angus,Private Sector,All Adults,981
2021/22,Angus,Private Sector,Older People Aged 65 and Older,956
2021/22,Angus,Voluntary or Not for Profit Sector,All Adults,29
2021/22,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,29
2021/22,Argyll and Bute,All Sectors,All Adults,570
2021/22,Argyll and Bute,All Sectors,Learning Disabilities,6
2021/22,Argyll and Bute,All Sectors,Mental Health Problems,0
2021/22,Argyll and Bute,All Sectors,Older People Aged 65 and Older,564
2021/22,Argyll and Bute,All Sectors,Other Groups,0
2021/22,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2021/22,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,89
2021/22,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2021/22,Argyll and Bute,Private Sector,All Adults,481
2021/22,Argyll and Bute,Private Sector,Older People Aged 65 and Older,475
2021/22,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,0
2021/22,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2021/22,City of Edinburgh,All Sectors,All Adults,3190
2021/22,City of Edinburgh,All Sectors,Learning Disabilities,66
2021/22,City of Edinburgh,All Sectors,Mental Health Problems,15
2021/22,City of Edinburgh,All Sectors,Older People Aged 65 and Older,3042
2021/22,City of Edinburgh,All Sectors,Other Groups,20
2021/22,City of Edinburgh,All Sectors,Physical and Sensory Impairment,47
2021/22,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,347
2021/22,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,326
2021/22,City of Edinburgh,Private Sector,All Adults,2305
2021/22,City of Edinburgh,Private Sector,Older People Aged 65 and Older,2276
2021/22,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,538
2021/22,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,440
2021/22,Clackmannanshire,All Sectors,All Adults,378
2021/22,Clackmannanshire,All Sectors,Learning Disabilities,32
2021/22,Clackmannanshire,All Sectors,Mental Health Problems,27
2021/22,Clackmannanshire,All Sectors,Older People Aged 65 and Older,282
2021/22,Clackmannanshire,All Sectors,Other Groups,0
2021/22,Clackmannanshire,All Sectors,Physical and Sensory Impairment,37
2021/22,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,52
2021/22,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,52
2021/22,Clackmannanshire,Private Sector,All Adults,280
2021/22,Clackmannanshire,Private Sector,Older People Aged 65 and Older,230
2021/22,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,46
2021/22,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2021/22,Dumfries and Galloway,All Sectors,All Adults,1110
2021/22,Dumfries and Galloway,All Sectors,Learning Disabilities,26
2021/22,Dumfries and Galloway,All Sectors,Mental Health Problems,76
2021/22,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,1005
2021/22,Dumfries and Galloway,All Sectors,Other Groups,0
2021/22,Dumfries and Galloway,All Sectors,Physical and Sensory Impairment,3
2021/22,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,3
2021/22,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2021/22,Dumfries and Galloway,Private Sector,All Adults,1093
2021/22,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,1005
2021/22,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,14
2021/22,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2021/22,Dundee City,All Sectors,All Adults,1076
2021/22,Dundee City,All Sectors,Learning Disabilities,30
2021/22,Dundee City,All Sectors,Mental Health Problems,0
2021/22,Dundee City,All Sectors,Older People Aged 65 and Older,1005
2021/22,Dundee City,All Sectors,Other Groups,31
2021/22,Dundee City,All Sectors,Physical and Sensory Impairment,10
2021/22,Dundee City,Local Authority/Health Board Sectors,All Adults,101
2021/22,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,88
2021/22,Dundee City,Private Sector,All Adults,922
2021/22,Dundee City,Private Sector,Older People Aged 65 and Older,867
2021/22,Dundee City,Voluntary or Not for Profit Sector,All Adults,53
2021/22,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,50
2021/22,East Ayrshire,All Sectors,All Adults,954
2021/22,East Ayrshire,All Sectors,Learning Disabilities,40
2021/22,East Ayrshire,All Sectors,Mental Health Problems,24
2021/22,East Ayrshire,All Sectors,Older People Aged 65 and Older,880
2021/22,East Ayrshire,All Sectors,Other Groups,0
2021/22,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2021/22,East Ayrshire,Local Authority/Health Board Sectors,All Adults,2
2021/22,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,2
2021/22,East Ayrshire,Private Sector,All Adults,952
2021/22,East Ayrshire,Private Sector,Older People Aged 65 and Older,878
2021/22,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2021/22,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2021/22,East Dunbartonshire,All Sectors,All Adults,866
2021/22,East Dunbartonshire,All Sectors,Learning Disabilities,21
2021/22,East Dunbartonshire,All Sectors,Mental Health Problems,5
2021/22,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,840
2021/22,East Dunbartonshire,All Sectors,Other Groups,0
2021/22,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2021/22,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2021/22,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2021/22,East Dunbartonshire,Private Sector,All Adults,845
2021/22,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,840
2021/22,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,10
2021/22,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2021/22,East Lothian,All Sectors,All Adults,736
2021/22,East Lothian,All Sectors,Learning Disabilities,7
2021/22,East Lothian,All Sectors,Mental Health Problems,0
2021/22,East Lothian,All Sectors,Older People Aged 65 and Older,711
2021/22,East Lothian,All Sectors,Other Groups,0
2021/22,East Lothian,All Sectors,Physical and Sensory Impairment,18
2021/22,East Lothian,Local Authority/Health Board Sectors,All Adults,121
2021/22,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,121
2021/22,East Lothian,Private Sector,All Adults,560
2021/22,East Lothian,Private Sector,Older People Aged 65 and Older,553
2021/22,East Lothian,Voluntary or Not for Profit Sector,All Adults,55
2021/22,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2021/22,East Renfrewshire,All Sectors,All Adults,603
2021/22,East Renfrewshire,All Sectors,Learning Disabilities,0
2021/22,East Renfrewshire,All Sectors,Mental Health Problems,0
2021/22,East Renfrewshire,All Sectors,Older People Aged 65 and Older,603
2021/22,East Renfrewshire,All Sectors,Other Groups,0
2021/22,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2021/22,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2021/22,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2021/22,East Renfrewshire,Private Sector,All Adults,455
2021/22,East Renfrewshire,Private Sector,Older People Aged 65 and Older,455
2021/22,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,114
2021/22,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,114
2021/22,Falkirk,All Sectors,All Adults,1115
2021/22,Falkirk,All Sectors,Learning Disabilities,98
2021/22,Falkirk,All Sectors,Mental Health Problems,55
2021/22,Falkirk,All Sectors,Older People Aged 65 and Older,962
2021/22,Falkirk,All Sectors,Other Groups,0
2021/22,Falkirk,All Sectors,Physical and Sensory Impairment,0
2021/22,Falkirk,Local Authority/Health Board Sectors,All Adults,126
2021/22,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,114
2021/22,Falkirk,Private Sector,All Adults,932
2021/22,Falkirk,Private Sector,Older People Aged 65 and Older,812
2021/22,Falkirk,Voluntary or Not for Profit Sector,All Adults,57
2021/22,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,36
2021/22,Fife,All Sectors,All Adults,3087
2021/22,Fife,All Sectors,Learning Disabilities,61
2021/22,Fife,All Sectors,Mental Health Problems,32
2021/22,Fife,All Sectors,Older People Aged 65 and Older,2950
2021/22,Fife,All Sectors,Other Groups,0
2021/22,Fife,All Sectors,Physical and Sensory Impairment,44
2021/22,Fife,Local Authority/Health Board Sectors,All Adults,348
2021/22,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,334
2021/22,Fife,Private Sector,All Adults,2647
2021/22,Fife,Private Sector,Older People Aged 65 and Older,2548
2021/22,Fife,Voluntary or Not for Profit Sector,All Adults,92
2021/22,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2021/22,Glasgow City,All Sectors,All Adults,4591
2021/22,Glasgow City,All Sectors,Learning Disabilities,74
2021/22,Glasgow City,All Sectors,Mental Health Problems,199
2021/22,Glasgow City,All Sectors,Older People Aged 65 and Older,4123
2021/22,Glasgow City,All Sectors,Other Groups,124
2021/22,Glasgow City,All Sectors,Physical and Sensory Impairment,71
2021/22,Glasgow City,Local Authority/Health Board Sectors,All Adults,550
2021/22,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,550
2021/22,Glasgow City,Private Sector,All Adults,3366
2021/22,Glasgow City,Private Sector,Older People Aged 65 and Older,3301
2021/22,Glasgow City,Voluntary or Not for Profit Sector,All Adults,675
2021/22,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,272
2021/22,Highland,All Sectors,All Adults,2125
2021/22,Highland,All Sectors,Learning Disabilities,101
2021/22,Highland,All Sectors,Mental Health Problems,92
2021/22,Highland,All Sectors,Older People Aged 65 and Older,1858
2021/22,Highland,All Sectors,Other Groups,15
2021/22,Highland,All Sectors,Physical and Sensory Impairment,59
2021/22,Highland,Local Authority/Health Board Sectors,All Adults,281
2021/22,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,281
2021/22,Highland,Private Sector,All Adults,1559
2021/22,Highland,Private Sector,Older People Aged 65 and Older,1355
2021/22,Highland,Voluntary or Not for Profit Sector,All Adults,285
2021/22,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,222
2021/22,Inverclyde,All Sectors,All Adults,748
2021/22,Inverclyde,All Sectors,Learning Disabilities,34
2021/22,Inverclyde,All Sectors,Mental Health Problems,9
2021/22,Inverclyde,All Sectors,Older People Aged 65 and Older,692
2021/22,Inverclyde,All Sectors,Other Groups,0
2021/22,Inverclyde,All Sectors,Physical and Sensory Impairment,13
2021/22,Inverclyde,Local Authority/Health Board Sectors,All Adults,4
2021/22,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4
2021/22,Inverclyde,Private Sector,All Adults,540
2021/22,Inverclyde,Private Sector,Older People Aged 65 and Older,540
2021/22,Inverclyde,Voluntary or Not for Profit Sector,All Adults,204
2021/22,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,148
2021/22,Midlothian,All Sectors,All Adults,541
2021/22,Midlothian,All Sectors,Learning Disabilities,18
2021/22,Midlothian,All Sectors,Mental Health Problems,0
2021/22,Midlothian,All Sectors,Older People Aged 65 and Older,523
2021/22,Midlothian,All Sectors,Other Groups,0
2021/22,Midlothian,All Sectors,Physical and Sensory Impairment,0
2021/22,Midlothian,Local Authority/Health Board Sectors,All Adults,101
2021/22,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,101
2021/22,Midlothian,Private Sector,All Adults,382
2021/22,Midlothian,Private Sector,Older People Aged 65 and Older,374
2021/22,Midlothian,Voluntary or Not for Profit Sector,All Adults,58
2021/22,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2021/22,Moray,All Sectors,All Adults,596
2021/22,Moray,All Sectors,Learning Disabilities,12
2021/22,Moray,All Sectors,Mental Health Problems,0
2021/22,Moray,All Sectors,Older People Aged 65 and Older,584
2021/22,Moray,All Sectors,Other Groups,0
2021/22,Moray,All Sectors,Physical and Sensory Impairment,0
2021/22,Moray,Local Authority/Health Board Sectors,All Adults,2
2021/22,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2021/22,Moray,Private Sector,All Adults,531
2021/22,Moray,Private Sector,Older People Aged 65 and Older,531
2021/22,Moray,Voluntary or Not for Profit Sector,All Adults,63
2021/22,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,53
2021/22,Na h-Eileanan Siar,All Sectors,All Adults,226
2021/22,Na h-Eileanan Siar,All Sectors,Learning Disabilities,12
2021/22,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2021/22,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,214
2021/22,Na h-Eileanan Siar,All Sectors,Other Groups,0
2021/22,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2021/22,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,139
2021/22,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,127
2021/22,Na h-Eileanan Siar,Private Sector,All Adults,40
2021/22,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2021/22,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,47
2021/22,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,47
2021/22,North Ayrshire,All Sectors,All Adults,1025
2021/22,North Ayrshire,All Sectors,Learning Disabilities,46
2021/22,North Ayrshire,All Sectors,Mental Health Problems,0
2021/22,North Ayrshire,All Sectors,Older People Aged 65 and Older,954
2021/22,North Ayrshire,All Sectors,Other Groups,0
2021/22,North Ayrshire,All Sectors,Physical and Sensory Impairment,25
2021/22,North Ayrshire,Local Authority/Health Board Sectors,All Adults,50
2021/22,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,44
2021/22,North Ayrshire,Private Sector,All Adults,897
2021/22,North Ayrshire,Private Sector,Older People Aged 65 and Older,840
2021/22,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,78
2021/22,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,70
2021/22,North Lanarkshire,All Sectors,All Adults,1839
2021/22,North Lanarkshire,All Sectors,Learning Disabilities,14
2021/22,North Lanarkshire,All Sectors,Mental Health Problems,80
2021/22,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1719
2021/22,North Lanarkshire,All Sectors,Other Groups,0
2021/22,North Lanarkshire,All Sectors,Physical and Sensory Impairment,26
2021/22,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,21
2021/22,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,21
2021/22,North Lanarkshire,Private Sector,All Adults,1778
2021/22,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1658
2021/22,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,40
2021/22,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,40
2021/22,Orkney Islands,All Sectors,All Adults,117
2021/22,Orkney Islands,All Sectors,Learning Disabilities,8
2021/22,Orkney Islands,All Sectors,Mental Health Problems,0
2021/22,Orkney Islands,All Sectors,Older People Aged 65 and Older,109
2021/22,Orkney Islands,All Sectors,Other Groups,0
2021/22,Orkney Islands,All Sectors,Physical and Sensory Impairment,0
2021/22,Orkney Islands,Local Authority/Health Board Sectors,All Adults,113
2021/22,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,109
2021/22,Orkney Islands,Private Sector,All Adults,0
2021/22,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
